"","income","sex","eth","fedu","parocc"
"173",12173.2427326284,2,1,9,1010
"174",5626.10123262842,1,3,1,99
"175",5269.30923262842,1,1,1,98
"176",10969.0687326284,1,1,1,99
"177",4708.25503262842,2,3,1,99
"178",8186.08713262842,1,1,5,99
"179",13885.8457326284,1,1,1,1010
"180",1754.90353262842,1,3,9,95
"181",4640.59883262842,2,1,1,105
"182",10656.8743992951,1,4,11,29
"183",20679.1957326284,1,2,4,109
"184",10032.4887326284,2,1,11,99
"185",2629.04513262842,1,1,6,97
"186",898.60167262842,1,1,1,108
"187",1683.54513262842,1,1,1,1010
"188",9327.82343262842,1,1,1,98
"189",10995.8270659618,1,1,9,1010
"190",3654.82313262842,1,1,5,108
"191",1558.66763262842,1,1,1,105
"192",2718.24313262842,2,1,1,1010
"193",13555.8137326284,1,1,1,910
"194",488.29039262842,1,1,1,1010
"195",4593.57003262842,2,1,1,109
"196",2116.58953262842,1,1,1,1010
"197",9265.38393262842,2,1,1,99
"198",9898.69063262842,1,1,1,910
"199",1335.67243262842,1,1,1,1010
"200",3042.32973262842,2,1,1,1010
"201",2144.32143262842,1,1,9,1010
"202",4020.53553262842,1,1,1,109
"203",8560.71893262842,2,1,1,1010
"204",2459.62073262842,1,2,1,109
"205",7207.58413262842,2,1,10,58
"206",2585.04873262842,1,1,1,1010
"207",4154.33273262842,1,1,1,1010
"208",5010.63443262842,1,1,1,1010
"209",5394.18623262842,2,4,11,1010
"210",12976.0257326284,2,1,1,109
"211",23961.4690659618,1,3,1,99
"212",3842.13933262842,2,1,1,98
"213",4475.44593262842,1,1,1,98
"214",2816.36103262842,1,1,1,99
"215",1970.74553262842,1,1,1,1010
"216",1737.06393262842,1,1,1,1010
"217",4718.79023262842,1,1,1,1010
"218",7784.69553262842,2,1,1,99
"219",2499.70773262842,1,1,11,1010
"220",9598.85463262842,1,1,5,109
"221",7088.95033262842,2,1,1,99
"222",3199.40713262842,1,1,1,910
"223",12486.3287326284,1,1,1,1010
"224",1737.06393262842,1,1,1,1010
"225",3574.54483262842,1,1,9,1010
"226",5676.62513262842,1,3,3,99
"227",3342.62983262842,1,3,11,107
"228",25020.4457326284,1,4,9,55
"229",2247.43403262842,1,1,1,1010
"230",4363.05973262842,1,1,1,1010
"231",8620.75703262842,1,1,1,98
"232",8557.83413262842,1,1,9,97
"233",7668.73793262842,1,1,10,98
"234",1826.26203262842,2,1,9,109
"235",2450.64883262842,1,1,1,108
"236",7395.79213262842,1,1,1,108
"237",9318.90353262842,1,1,3,109
"238",1558.54823262842,2,1,8,710
"239",2053.71723262842,2,1,1,1010
"240",18238.7147326284,2,1,2,1010
"241",19540.5547326284,1,1,1,107
"242",24928.5727326284,2,1,1,1010
"243",4288.13003262842,1,3,1,109
"244",6509.16273262842,2,1,1,1010
"245",19219.8927326284,1,1,8,97
"246",5792.47873262842,1,1,1,107
"247",3467.50723262842,1,1,1,1010
"248",4973.47573262842,1,1,1,910
"249",5527.98353262842,1,1,1,1010
"250",13332.8187326284,2,2,9,94
"251",9693.53533262842,2,1,1,1010
"252",8209.48743262842,1,1,6,99
"253",14034.6407326284,1,3,1,107
"254",15116.7807326284,1,4,12,1010
"255",2013.57803262842,1,1,1,1010
"256",14313.9977326284,2,1,1,1010
"257",16288.9037326284,1,1,11,97
"258",1732.27273262842,1,1,1,108
"259",5704.30823262842,2,1,5,1010
"260",11015.3877326284,1,1,1,210
"261",3253.43183262842,1,3,1,99
"262",22698.6197326284,1,3,11,25
"263",4456.39523262842,1,3,1,910
"264",4734.12033262842,1,1,9,107
"265",635.46727262842,1,1,1,510
"266",2165.21473262842,1,1,1,1010
"267",1870.86113262842,1,1,7,105
"268",2183.05433262842,1,1,9,107
"269",2361.45063262842,2,1,9,108
"270",2270.61003262842,1,1,1,1010
"271",13985.1857326284,2,1,1,98
"272",1380.27153262842,2,1,9,25
"273",5642.58613262842,2,1,1,95
"274",8805.08413262842,1,1,1,1010
"275",3969.07633262842,2,1,3,107
"276",1966.81073262842,1,1,5,99
"277",9404.74043262842,2,1,1,107
"278",8432.27363262842,1,1,1,1010
"279",2361.45063262842,1,1,1,1010
"280",2629.04513262842,1,1,1,1010
"281",4687.97233262842,2,1,1,1010
"282",3521.02603262842,1,3,10,99
"283",1514.53613262842,1,1,11,1010
"284",3458.58733262842,2,1,1,1010
"285",5728.16663262842,1,1,1,1010
"286",909.96281262842,1,1,5,108
"287",3057.19593262842,1,1,1,108
"288",10807.5407326284,2,1,1,910
"289",5953.43233262842,1,1,1,1010
"290",1469.46953262842,1,1,1,103
"291",13040.8577326284,1,1,11,108
"292",8205.41323262842,1,1,1,95
"293",3727.96573262842,1,1,1,1010
"294",5554.74283262842,1,3,1,99
"295",6570.11493262842,2,1,9,103
"296",6464.56363262842,1,1,1,1010
"297",6375.36543262842,2,1,1,910
"298",1879.78093262842,1,1,9,210
"299",3998.23603262842,1,1,7,98
"300",2593.36563262842,1,1,1,1010
"301",1291.07343262842,1,1,12,98
"302",1781.66303262842,2,1,1,98
"303",6346.33803262842,1,1,1,99
"304",1153.44173262842,1,1,1,1010
"305",3092.87513262842,1,1,7,109
"306",10924.4687326284,2,4,12,22
"307",14028.5637326284,1,1,8,1010
"308",9044.40153262842,2,3,1,107
"309",5801.52413262842,1,1,3,98
"310",2031.57663262842,1,1,1,1010
"311",3567.73093262842,1,1,1,107
"312",7534.94113262842,1,1,1,109
"313",5839.28483262842,2,1,1,1010
"314",3791.44843262842,2,1,7,108
"315",1166.19593262842,1,1,1,1010
"316",10549.8367326284,2,2,3,109
"317",934.28093262842,2,1,1,98
"318",1424.87053262842,1,1,1,910
"319",11013.6667326284,2,3,9,93
"320",1103.75733262842,1,1,1,1010
"321",1023.47903262842,2,1,1,108
